Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
GCN,rsfMRI,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.5909090909090908
GCN,rsfMRI,2,0.6190476190476191,0.6923076923076923,0.6,0.8181818181818182,0.6727272727272727
GCN,rsfMRI,3,0.47619047619047616,0.35294117647058826,0.42857142857142855,0.3,0.6181818181818182
GCN,rsfMRI,4,0.5714285714285714,0.18181818181818182,1.0,0.1,0.6363636363636362
GCN,rsfMRI,5,0.5714285714285714,0.64,0.5333333333333333,0.8,0.7
GCN,rsfMRI,Average,0.5523809523809524,0.5109134101192925,0.6171428571428571,0.6036363636363637,0.6436363636363636
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
GCN,rsfMRI,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.5909090909090908
GCN,rsfMRI,2,0.6190476190476191,0.6923076923076923,0.6,0.8181818181818182,0.6727272727272727
GCN,rsfMRI,3,0.47619047619047616,0.35294117647058826,0.42857142857142855,0.3,0.6181818181818182
GCN,rsfMRI,4,0.5714285714285714,0.18181818181818182,1.0,0.1,0.6363636363636362
GCN,rsfMRI,5,0.5714285714285714,0.64,0.5333333333333333,0.8,0.7
GCN,rsfMRI,Average,0.5523809523809524,0.5109134101192925,0.6171428571428571,0.6036363636363637,0.6436363636363636
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
GCN,rsfMRI,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.5909090909090908
GCN,rsfMRI,2,0.6190476190476191,0.6923076923076923,0.6,0.8181818181818182,0.6727272727272727
GCN,rsfMRI,3,0.47619047619047616,0.35294117647058826,0.42857142857142855,0.3,0.6181818181818182
GCN,rsfMRI,4,0.5714285714285714,0.18181818181818182,1.0,0.1,0.6363636363636362
GCN,rsfMRI,5,0.5714285714285714,0.64,0.5333333333333333,0.8,0.7
GCN,rsfMRI,Average,0.5523809523809524,0.5109134101192925,0.6171428571428571,0.6036363636363637,0.6436363636363636
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
GCN,rsfMRI,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.5909090909090908
GCN,rsfMRI,2,0.6190476190476191,0.6923076923076923,0.6,0.8181818181818182,0.6727272727272727
GCN,rsfMRI,3,0.47619047619047616,0.35294117647058826,0.42857142857142855,0.3,0.6181818181818182
GCN,rsfMRI,4,0.5714285714285714,0.18181818181818182,1.0,0.1,0.6363636363636362
GCN,rsfMRI,5,0.5714285714285714,0.64,0.5333333333333333,0.8,0.7
GCN,rsfMRI,Average,0.5523809523809524,0.5109134101192925,0.6171428571428571,0.6036363636363637,0.6436363636363636
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
GCN,rsfMRI,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.5909090909090908
GCN,rsfMRI,2,0.6190476190476191,0.6923076923076923,0.6,0.8181818181818182,0.6727272727272727
GCN,rsfMRI,3,0.47619047619047616,0.35294117647058826,0.42857142857142855,0.3,0.6181818181818182
GCN,rsfMRI,4,0.5714285714285714,0.18181818181818182,1.0,0.1,0.6363636363636362
GCN,rsfMRI,5,0.5714285714285714,0.64,0.5333333333333333,0.8,0.7
GCN,rsfMRI,Average,0.5523809523809524,0.5109134101192925,0.6171428571428571,0.6036363636363637,0.6436363636363636
GraphSAGE,rsfMRI,1,0.47619047619047616,0.42105263157894735,0.5,0.36363636363636365,0.5909090909090908
GraphSAGE,rsfMRI,2,0.47619047619047616,0.0,0.0,0.0,0.6818181818181819
GraphSAGE,rsfMRI,3,0.38095238095238093,0.48,0.4,0.6,0.4727272727272728
GraphSAGE,rsfMRI,4,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.7,0.6363636363636362
GraphSAGE,rsfMRI,5,0.6190476190476191,0.5555555555555556,0.625,0.5,0.7545454545454546
GraphSAGE,rsfMRI,Average,0.5047619047619047,0.41306076786168316,0.41269230769230775,0.43272727272727274,0.6272727272727273
GAT,rsfMRI,1,0.47619047619047616,0.0,0.0,0.0,0.5818181818181818
GAT,rsfMRI,2,0.5238095238095238,0.375,0.6,0.2727272727272727,0.5909090909090908
GAT,rsfMRI,3,0.5238095238095238,0.0,0.0,0.0,0.6636363636363636
GAT,rsfMRI,4,0.5238095238095238,0.0,0.0,0.0,0.5727272727272728
GAT,rsfMRI,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.8272727272727273
GAT,rsfMRI,Average,0.5047619047619047,0.2040322580645161,0.21523809523809523,0.2545454545454545,0.6472727272727272
